Date,Open,High,Low,Close,Adj Close,Volume
11/22/2016,167.5,167.5,163.559998,164.470001,164.470001,1595300
11/23/2016,163.360001,164.639999,161.690002,163.630005,163.630005,1421200
11/25/2016,165,165.600006,163.619995,164.440002,164.440002,924600
11/28/2016,165.130005,168,164.059998,167,167,2219500
11/29/2016,166.009995,171.240005,166,169.179993,169.179993,2548600
11/30/2016,169.990005,171.550003,166.490005,166.949997,166.949997,2579700
12/1/2016,167.520004,167.820007,161.800003,163.080002,163.080002,2275200
12/2/2016,162.949997,163.880005,160.789993,161.669998,161.669998,1948900
12/5/2016,161.720001,165.389999,161.559998,164.320007,164.320007,1413600
12/6/2016,165.009995,165.740005,163.550003,165.169998,165.169998,1280500
12/7/2016,165.539993,169.559998,164.369995,169.330002,169.330002,1857100
12/8/2016,168.919998,169.740005,166.330002,167.75,167.75,1944500
12/9/2016,168.490005,171.100006,168.339996,170.820007,170.820007,2375800
12/12/2016,168.630005,169.279999,167.009995,168.479996,168.479996,2931900
12/13/2016,169.330002,173,169,171.460007,171.460007,3170500
12/14/2016,170.899994,172.539993,169.630005,169.830002,169.830002,1497300
12/15/2016,169.210007,169.630005,165.619995,165.779999,165.779999,2031800
12/16/2016,166.419998,167.919998,164.649994,164.929993,164.929993,2318500
12/19/2016,164.440002,164.929993,162.339996,163.690002,163.690002,1927900
12/20/2016,164.259995,167.009995,164,165.279999,165.279999,1506500
12/21/2016,165,165.990005,163.800003,163.919998,163.919998,1342800
12/22/2016,163.289993,165.270004,162.020004,162.889999,162.889999,1496500
12/23/2016,163.279999,164.619995,162.529999,163.619995,163.619995,1049000
12/27/2016,163.630005,166.470001,163.070007,164.770004,164.770004,940600
12/28/2016,165.119995,167.009995,164.759995,165.539993,165.539993,1670200
12/29/2016,165.610001,167.589996,165.460007,166.5,166.5,1586900
12/30/2016,166.759995,167.229996,163.559998,164.410004,164.410004,1503000
1/3/2017,166.300003,169.660004,165.820007,168.300003,168.300003,2314700
1/4/2017,169.740005,173.259995,168.300003,171.960007,171.960007,2033200
1/5/2017,172.649994,177.839996,172.5,177.470001,177.470001,2733000
1/6/2017,176.279999,177.279999,173.25,176.380005,176.380005,2254700
1/9/2017,178,179.720001,176.820007,177.160004,177.160004,1759000
1/10/2017,179.830002,183,178.300003,180.309998,180.309998,2922300
1/11/2017,179.570007,180.179993,176.800003,179.320007,179.320007,1929900
1/12/2017,178.800003,179.470001,175.660004,177.570007,177.570007,2680100
1/13/2017,178,178.710007,176.360001,176.479996,176.479996,1411900
1/17/2017,175.580002,178.279999,174.490005,176.960007,176.960007,2065900
1/18/2017,178.589996,180.779999,174.729996,176.539993,176.539993,2005000
1/19/2017,176.839996,176.839996,174.429993,176.089996,176.089996,1430500
1/20/2017,175.300003,176.460007,173.130005,173.440002,173.440002,2048400
1/23/2017,173.940002,176.179993,173.279999,175.970001,175.970001,2100600
1/24/2017,177.699997,179,175.5,176.050003,176.050003,1600400
1/25/2017,177.399994,179,176.25,176.610001,176.610001,2122000
1/26/2017,177.649994,177.669998,174.649994,174.949997,174.949997,2194200
1/27/2017,175,175,173.220001,174.100006,174.100006,1575700
1/30/2017,173.160004,174.970001,171.720001,174.720001,174.720001,1358900
1/31/2017,173.679993,176.179993,173.009995,175.070007,175.070007,1325800
2/1/2017,176.729996,176.729996,172.550003,173.820007,173.820007,1216400
2/2/2017,173.509995,175.179993,172.460007,173.399994,173.399994,962600
2/3/2017,174.960007,176.589996,173.559998,175.169998,175.169998,1578100
2/6/2017,175.789993,179.080002,175.149994,177.809998,177.809998,2320900
2/7/2017,179.580002,179.600006,176.75,178.169998,178.169998,1535200
2/8/2017,179.160004,182.410004,177.529999,181.5,181.5,2114200
2/9/2017,181.229996,183.460007,181.059998,181.5,181.5,1743700
2/10/2017,182.580002,184.160004,181.210007,183.990005,183.990005,2149800
2/13/2017,184.5,185.440002,183.330002,184.309998,184.309998,2428500
2/14/2017,184.009995,185.660004,182.279999,182.770004,182.770004,1932000
2/15/2017,183.649994,185.139999,182.809998,183.580002,183.580002,1203400
